date,n_assets,count_above_mp_raw,count_above_mp_ex_market,top_eig,second_eig,mp_edge
2021-11-10,25,3,2,3.14251751480424,2.73802732849933,1.72914713755506
2021-11-11,25,3,2,3.15861970508989,2.72939116941963,1.72914713755506
2021-11-12,25,3,2,3.15563455240782,2.72826643685934,1.72914713755506
2021-11-15,25,3,2,3.15400429915028,2.72744620512847,1.72914713755506
2021-11-16,25,3,2,3.14706794990167,2.7275118385836,1.72914713755506
2021-11-17,25,3,2,3.13247537298839,2.72507328228785,1.72914713755506
2021-11-18,25,3,2,3.14418958563085,2.72885675291825,1.72914713755506
2021-11-19,25,3,2,3.14707033935085,2.72923414442539,1.72914713755506
2021-11-22,25,3,2,3.14130630784637,2.71799681300757,1.72914713755506
2021-11-23,25,3,2,3.14912558978149,2.70682411479702,1.72914713755506
2021-11-24,25,3,2,3.1534782663667,2.70202431808691,1.72914713755506
2021-11-25,25,3,2,3.14745507317539,2.70088556318027,1.72914713755506
2021-11-26,25,3,2,3.20870305128979,2.74492765250992,1.72914713755506
2021-11-29,25,3,2,3.20642852286658,2.77806295140482,1.72914713755506
2021-11-30,25,3,2,3.28418206230419,2.76682152297716,1.72914713755506
2021-12-01,25,3,2,3.29147212193443,2.78026038626127,1.72914713755506
2021-12-02,25,3,2,3.31146678168188,2.77905871222943,1.72914713755506
2021-12-03,25,3,2,3.31530423846952,2.77366929101467,1.72914713755506
2021-12-06,25,3,2,3.32834985051517,2.81213302449912,1.72914713755506
2021-12-07,25,3,2,3.33393002301551,2.82335986338999,1.72914713755506
2021-12-08,25,3,2,3.33175465174841,2.78301996897676,1.72914713755506
2021-12-09,25,3,2,3.34409600522745,2.78928090161247,1.72914713755506
2021-12-10,25,3,2,3.33060657387905,2.81586402551271,1.72914713755506
2021-12-13,25,3,2,3.32062121911651,2.80685176446654,1.72914713755506
2021-12-14,25,3,2,3.31444235888275,2.80681216910066,1.72914713755506
2021-12-15,25,3,2,3.30823507033292,2.83129780766949,1.72914713755506
2021-12-16,25,3,2,3.30744784806257,2.82736255246953,1.72914713755506
2021-12-17,25,3,2,3.32134500492728,2.82590390217741,1.72914713755506
2021-12-20,25,3,2,3.34090366196456,2.82656045816292,1.72914713755506
2021-12-21,25,3,2,3.35097839867355,2.82109951035031,1.72914713755506
2021-12-22,25,3,2,3.39386166854062,2.81449543738955,1.72914713755506
2021-12-23,25,3,2,3.38548952667624,2.81495284160538,1.72914713755506
2021-12-24,25,3,2,3.39036561311007,2.81923269150987,1.72914713755506
2021-12-27,25,3,2,3.38897800783347,2.81845599817336,1.72914713755506
2021-12-28,25,3,2,3.38958212566177,2.83685939281436,1.72914713755506
2021-12-29,25,3,2,3.36949512245886,2.82738991041833,1.72914713755506
2021-12-30,25,3,2,3.36638201442042,2.8135784244787,1.72914713755506
2021-12-31,25,3,2,3.36321908922545,2.82116579569721,1.72914713755506
2022-01-03,25,3,2,3.363440929271,2.80843481168571,1.72914713755506
2022-01-04,25,3,2,3.36292801523929,2.80542106613552,1.72914713755506
2022-01-05,25,3,2,3.35776661751257,2.7799499779775,1.72914713755506
2022-01-06,25,3,2,3.36390794795836,2.77884970250348,1.72914713755506
2022-01-07,25,3,2,3.36506445565708,2.7834515287881,1.72914713755506
